RLINEv1_2   
SOURCE FILE: CALTRANS99_Source.txt (4 Sources)
RECEPTOR FILE: CALTRANS99_ALLreceptors.txt (7 Receptors)
SURFACE FILE: CALTRANS99_met.sfc
Error Limit:  1.000E-03
Displacement Height:      5.000*z0
Concentrations from: Plume and Meander
Roadway configurations used: N 
Roadway #Lanes Option : N 
Integraton option: Numerical
 
 Year, Julian_Day, Hour, X-Coordinate, Y-Coordinate, Z-Coordinate, C_NB, C_SB,
   82,   29,    6,       32.140,       38.300,        1.000,   0.231047E+04,   0.494350E+04, 
   82,   29,    6,       64.280,       76.600,        1.000,   0.101256E+04,   0.143617E+04, 
   82,   29,    6,      128.560,      153.200,        1.000,   0.421154E+03,   0.500225E+03, 
   82,   29,    6,        0.000,        0.000,        1.000,   0.129838E+06,   0.100072E+06, 
   82,   29,    7,     -128.560,     -153.200,        1.000,   0.185299E+05,   0.161899E+05, 
   82,   29,    7,      -64.280,      -76.600,        1.000,   0.381648E+05,   0.305093E+05, 
   82,   29,    7,      -32.140,      -38.300,        1.000,   0.747139E+05,   0.507057E+05, 
   82,   29,    7,       32.140,       38.300,        1.000,   0.379435E+04,   0.925853E+04, 
   82,   29,    7,       64.280,       76.600,        1.000,   0.148035E+04,   0.219437E+04, 
   82,   29,    7,      128.560,      153.200,        1.000,   0.575010E+03,   0.687620E+03, 
   82,   29,    7,        0.000,        0.000,        1.000,   0.243564E+06,   0.139061E+06, 
   82,   29,    8,     -128.560,     -153.200,        1.000,   0.435434E+04,   0.356791E+04, 
   82,   29,    8,      -64.280,      -76.600,        1.000,   0.128015E+05,   0.918901E+04, 
   82,   29,    8,      -32.140,      -38.300,        1.000,   0.335761E+05,   0.193582E+05, 
   82,   29,    8,       32.140,       38.300,        1.000,   0.257561E+05,   0.569227E+05, 
   82,   29,    8,       64.280,       76.600,        1.000,   0.101561E+05,   0.151620E+05, 
   82,   29,    8,      128.560,      153.200,        1.000,   0.348069E+04,   0.433628E+04, 
   82,   29,    8,        0.000,        0.000,        1.000,   0.479110E+06,   0.789269E+05, 
   82,   29,    9,     -128.560,     -153.200,        1.000,   0.129292E+04,   0.104225E+04, 
   82,   29,    9,      -64.280,      -76.600,        1.000,   0.407875E+04,   0.287714E+04, 
   82,   29,    9,      -32.140,      -38.300,        1.000,   0.111376E+05,   0.628114E+04, 
   82,   29,    9,       32.140,       38.300,        1.000,   0.364074E+05,   0.740247E+05, 
   82,   29,    9,       64.280,       76.600,        1.000,   0.153841E+05,   0.223196E+05, 
   82,   29,    9,      128.560,      153.200,        1.000,   0.572873E+04,   0.699624E+04, 
   82,   29,    9,        0.000,        0.000,        1.000,   0.395972E+06,   0.275483E+05, 
   82,   33,    6,     -128.560,     -153.200,        1.000,   0.131509E+06,   0.120894E+06, 
   82,   33,    6,      -64.280,      -76.600,        1.000,   0.214218E+06,   0.183437E+06, 
   82,   33,    6,      -32.140,      -38.300,        1.000,   0.333492E+06,   0.259547E+06, 
   82,   33,    6,       32.140,       38.300,        1.000,   0.253420E+05,   0.428483E+05, 
   82,   33,    6,       64.280,       76.600,        1.000,   0.133070E+05,   0.175696E+05, 
   82,   33,    6,      128.560,      153.200,        1.000,   0.647701E+04,   0.746959E+04, 
   82,   33,    6,        0.000,        0.000,        1.000,   0.159782E+06,   0.471872E+06, 
   82,   33,    7,     -128.560,     -153.200,        1.000,   0.894172E+05,   0.821745E+05, 
   82,   33,    7,      -64.280,      -76.600,        1.000,   0.146078E+06,   0.125011E+06, 
   82,   33,    7,      -32.140,      -38.300,        1.000,   0.228739E+06,   0.177375E+06, 
   82,   33,    7,       32.140,       38.300,        1.000,   0.132924E+05,   0.225976E+05, 
   82,   33,    7,       64.280,       76.600,        1.000,   0.695234E+04,   0.919030E+04, 
   82,   33,    7,      128.560,      153.200,        1.000,   0.337124E+04,   0.389071E+04, 
   82,   33,    7,        0.000,        0.000,        1.000,   0.878687E+05,   0.326189E+06, 
   82,   33,    8,     -128.560,     -153.200,        1.000,   0.575652E+05,   0.513835E+05, 
   82,   33,    8,      -64.280,      -76.600,        1.000,   0.111105E+06,   0.902856E+05, 
   82,   33,    8,      -32.140,      -38.300,        1.000,   0.203917E+06,   0.144347E+06, 
   82,   33,    8,       32.140,       38.300,        1.000,   0.765027E+04,   0.142305E+05, 
   82,   33,    8,       64.280,       76.600,        1.000,   0.354862E+04,   0.495157E+04, 
   82,   33,    8,      128.560,      153.200,        1.000,   0.149394E+04,   0.177443E+04, 
   82,   33,    8,        0.000,        0.000,        1.000,   0.720967E+05,   0.335433E+06, 
   82,   33,    9,     -128.560,     -153.200,        1.000,   0.544810E+05,   0.485990E+05, 
   82,   33,    9,      -64.280,      -76.600,        1.000,   0.105997E+06,   0.857888E+05, 
   82,   33,    9,      -32.140,      -38.300,        1.000,   0.198572E+06,   0.138601E+06, 
   82,   33,    9,       32.140,       38.300,        1.000,   0.719179E+04,   0.133186E+05, 
   82,   33,    9,       64.280,       76.600,        1.000,   0.335233E+04,   0.466844E+04, 
   82,   33,    9,      128.560,      153.200,        1.000,   0.141781E+04,   0.168286E+04, 
   82,   33,    9,        0.000,        0.000,        1.000,   0.101303E+06,   0.340146E+06, 
   82,   34,   16,     -128.560,     -153.200,        1.000,   0.155081E+04,   0.126105E+04, 
   82,   34,   16,      -64.280,      -76.600,        1.000,   0.479403E+04,   0.339183E+04, 
   82,   34,   16,      -32.140,      -38.300,        1.000,   0.127806E+05,   0.733254E+04, 
   82,   34,   16,       32.140,       38.300,        1.000,   0.949667E+05,   0.180160E+06, 
   82,   34,   16,       64.280,       76.600,        1.000,   0.425734E+05,   0.603879E+05, 
   82,   34,   16,      128.560,      153.200,        1.000,   0.167644E+05,   0.202421E+05, 
   82,   34,   16,        0.000,        0.000,        1.000,   0.683298E+06,   0.299097E+05, 
   82,   34,   17,     -128.560,     -153.200,        1.000,   0.123504E+04,   0.105806E+04, 
   82,   34,   17,      -64.280,      -76.600,        1.000,   0.298740E+04,   0.226417E+04, 
   82,   34,   17,      -32.140,      -38.300,        1.000,   0.665602E+04,   0.422424E+04, 
   82,   34,   17,       32.140,       38.300,        1.000,   0.154508E+06,   0.257367E+06, 
   82,   34,   17,       64.280,       76.600,        1.000,   0.844000E+05,   0.109280E+06, 
   82,   34,   17,      128.560,      153.200,        1.000,   0.440655E+05,   0.500266E+05, 
   82,   34,   17,        0.000,        0.000,        1.000,   0.700328E+06,   0.130194E+05, 
   82,   34,   18,     -128.560,     -153.200,        1.000,   0.298083E+04,   0.247929E+04, 
   82,   34,   18,      -64.280,      -76.600,        1.000,   0.944236E+04,   0.648034E+04, 
   82,   34,   18,      -32.140,      -38.300,        1.000,   0.290474E+05,   0.152242E+05, 
   82,   34,   18,       32.140,       38.300,        1.000,   0.262560E+06,   0.460380E+06, 
   82,   34,   18,       64.280,       76.600,        1.000,   0.137465E+06,   0.181340E+06, 
